chr	start	end	Enrichment1	Enrichment3	CV3	CV5
chr1	3521705	3522001	1.2994709777586382	1.2529643500408651	0.19333216856147686	0.18804635494871103
chr1	3660535	3662757	1.4687718037366997	1.3344747068578189	0.4939575666961328	0.38767342207940486
chr1	4342402	4342646	0.9620089687504312	0.9709752962938742	0.725725046163109	0.5204521685498585
chr1	4561582	4562290	1.1196209512289004	1.1576417968355812	0.1865055965338001	0.197267775833905
chr1	4678211	4678557	0.9421699625734452	1.0344429283850447	0.0679327269282855	0.07935553186831115
chr1	4775462	4776078	1.2889427921622005	1.358936028529379	0.10658814512116621	0.1000099661687035
chr1	4797523	4798375	1.3016126857194177	1.395640313239475	0.11807802608067339	0.10055617952471954
chr1	4847490	4848556	1.4357889604940062	1.4224303923152777	0.18323204072102028	0.2022752124291869
chr1	5012901	5013139	1.4064043491638132	1.3357550667897404	0.4642197736468769	0.3490323055097916
chr1	5073003	5073623	0.0	0.9283390827579368	0.17130438699869566	0.15921028231430293
chr1	6204212	6205672	1.3956787975095226	1.404268218809393	0.13573618848031654	0.1342937060860083
chr1	6349112	6349618	1.2853653715488258	1.2644895269168908	0.10114055210516767	0.35562266307968105
chr1	6372848	6373372	1.1207671487680269	1.0832654821538834	0.1511054843530128	0.15725115366164513
chr1	6430940	6431964	1.4116669925343317	0.8474255517822232	0.22474204325870528	0.23515018607648863
chr1	7078468	7079524	1.902657196578621	1.088461198069243	0.1096414361830841	0.12631089683167773
chr1	7387762	7388790	1.578148476233437	1.3209064202812733	0.10724052249432393	0.5156707659314818
chr1	9535129	9536319	1.0214361362407323	1.280490943580334	0.15824877605735152	0.16860752598867976
chr1	9639391	9639549	1.09696464580456	1.1629354168768902	0.14089193666940555	0.12141754803502629
chr1	9689746	9691182	1.6384226329301084	1.4993400600161264	0.12103757964666663	0.15919426882157414
chr1	9737535	9738829	1.3200324832804116	1.4462195291886235	0.09163442124051523	0.0909077905424848
chr1	9838120	9838856	1.3257307096248765	1.2476670262356973	0.08406200025086144	0.0903254426856301
chr1	9933770	9934566	1.5333346010601627	1.4909460103368515	0.08524423148463994	0.09364348427929928
chr1	10027637	10028523	1.6867259753018264	1.570152383679006	0.0857692633762534	0.09455140417926435
chr1	10029603	10030407	1.4616859196989462	1.4958938193110425	0.0956303568530435	0.09468157404635408
chr1	10983345	10984191	1.326629584594908	1.2356397912265717	0.467846284249423	0.5374315004532046
chr1	11319635	11319847	1.2655849199129021	1.2406616942288666	0.20168920410352673	0.16494930050183912
chr1	11403957	11404699	1.4169574072835454	1.2615585767729105	0.12738883128545042	0.13212830811092263
chr1	12826113	12826339	1.175968489813123	1.069116650061253	0.08635767349908414	0.10010392594460484
chr1	13362295	13364973	1.5986879958142064	1.6002269986870352	0.11256746329958706	0.12007936766738257
